variable,variable_state,prob,avg_p_latency,cores,container_memory_cache,throughput
avg_p_latency,0,0.32936822627544277,,,,
avg_p_latency,1,0.33491937615648953,,,,
avg_p_latency,2,0.33571239756806764,,,,
throughput,0,0.004205214465937764,0.0,1.0,,
throughput,1,0.9957947855340623,0.0,1.0,,
throughput,0,0.003937007874015749,0.0,2.0,,
throughput,1,0.9960629921259844,0.0,2.0,,
throughput,0,0.003909304143862393,0.0,3.0,,
throughput,1,0.9960906958561377,0.0,3.0,,
throughput,0,0.9890539483971854,1.0,1.0,,
throughput,1,0.010946051602814701,1.0,1.0,,
throughput,0,0.003937007874015749,1.0,2.0,,
throughput,1,0.9960629921259844,1.0,2.0,,
throughput,0,0.003993610223642173,1.0,3.0,,
throughput,1,0.9960063897763579,1.0,3.0,,
throughput,0,0.9960629921259844,2.0,1.0,,
throughput,1,0.003937007874015749,2.0,1.0,,
throughput,0,0.9748031496062993,2.0,2.0,,
throughput,1,0.02519685039370079,2.0,2.0,,
throughput,0,0.003937007874015749,2.0,3.0,,
throughput,1,0.9960629921259844,2.0,3.0,,
container_memory_cache,0,0.9946495452113431,,1.0,,
container_memory_cache,1,0.0026752273943285187,,1.0,,
container_memory_cache,2,0.0026752273943285187,,1.0,,
container_memory_cache,0,0.007349081364829398,,2.0,,
container_memory_cache,1,0.973490813648294,,2.0,,
container_memory_cache,2,0.019160104986876644,,2.0,,
container_memory_cache,0,0.0026308866087871616,,3.0,,
container_memory_cache,1,0.0026308866087871616,,3.0,,
container_memory_cache,2,0.9947382267824256,,3.0,,
container_memory_mapped_file,0,0.9960552268244577,,,0.0,0.0
container_memory_mapped_file,1,0.0019723865877712037,,,0.0,0.0
container_memory_mapped_file,2,0.0019723865877712037,,,0.0,0.0
container_memory_mapped_file,0,0.991809991809992,,,0.0,1.0
container_memory_mapped_file,1,0.004095004095004096,,,0.0,1.0
container_memory_mapped_file,2,0.004095004095004096,,,0.0,1.0
container_memory_mapped_file,0,0.0042194092827004225,,,1.0,0.0
container_memory_mapped_file,1,0.011814345991561183,,,1.0,0.0
container_memory_mapped_file,2,0.9839662447257383,,,1.0,0.0
container_memory_mapped_file,0,0.001965408805031447,,,1.0,1.0
container_memory_mapped_file,1,0.9925314465408805,,,1.0,1.0
container_memory_mapped_file,2,0.005503144654088051,,,1.0,1.0
container_memory_mapped_file,0,0.06410256410256411,,,2.0,0.0
container_memory_mapped_file,1,0.06410256410256411,,,2.0,0.0
container_memory_mapped_file,2,0.8717948717948718,,,2.0,0.0
container_memory_mapped_file,0,0.0013206550449022718,,,2.0,1.0
container_memory_mapped_file,1,0.0013206550449022718,,,2.0,1.0
container_memory_mapped_file,2,0.9973586899101955,,,2.0,1.0
cores,1,0.32936822627544277,,,,
cores,2,0.33571239756806764,,,,
cores,3,0.33491937615648953,,,,
