from,to
container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total
container_cpu_cfs_throttled_seconds_total,python_gc_collections_total
container_memory_cache,container_cpu_cfs_throttled_periods_total
avg_p_latency,container_cpu_cfs_throttled_periods_total
avg_p_latency,throughput
avg_p_latency,container_cpu_cfs_throttled_seconds_total
avg_p_latency,container_memory_max_usage_bytes
cores,container_memory_cache
cores,container_memory_max_usage_bytes
cores,throughput
cores,container_cpu_cfs_throttled_seconds_total
cores,python_gc_collections_total
data_quality,avg_p_latency
