variable,variable_state,prob,container_fs_inodes_free_t,container_cpu_cfs_throttled_periods_total_t,container_cpu_cfs_periods_total_t,container_cpu_system_seconds_total_t,data_quality_t,container_last_seen_t,container_cpu_cfs_throttled_seconds_total_t,cores_t,container_cpu_usage_seconds_total_t,container_cpu_user_seconds_total_t,container_memory_rss_t,container_memory_failures_total_t,container_fs_reads_bytes_total_t,container_fs_usage_bytes_t,python_gc_collections_total_t,container_memory_cache_t,container_spec_cpu_quota_t,container_memory_mapped_file_t,container_memory_usage_bytes_t,container_memory_max_usage_bytes_t,throughput_t,container_fs_reads_bytes_total_t1,container_memory_working_set_bytes_t1,data_quality_t1
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_0,0.0022988505747126436,container_fs_inodes_free_t_0,container_cpu_cfs_throttled_periods_total_t_0,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_1,0.0022988505747126436,container_fs_inodes_free_t_0,container_cpu_cfs_throttled_periods_total_t_0,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_2,0.6344827586206897,container_fs_inodes_free_t_0,container_cpu_cfs_throttled_periods_total_t_0,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_3,0.3586206896551724,container_fs_inodes_free_t_0,container_cpu_cfs_throttled_periods_total_t_0,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_4,0.0022988505747126436,container_fs_inodes_free_t_0,container_cpu_cfs_throttled_periods_total_t_0,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_0,0.2,container_fs_inodes_free_t_0,container_cpu_cfs_throttled_periods_total_t_1,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_1,0.2,container_fs_inodes_free_t_0,container_cpu_cfs_throttled_periods_total_t_1,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_2,0.2,container_fs_inodes_free_t_0,container_cpu_cfs_throttled_periods_total_t_1,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_3,0.2,container_fs_inodes_free_t_0,container_cpu_cfs_throttled_periods_total_t_1,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_4,0.2,container_fs_inodes_free_t_0,container_cpu_cfs_throttled_periods_total_t_1,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_0,0.001769911504424779,container_fs_inodes_free_t_1,container_cpu_cfs_throttled_periods_total_t_0,,,,,,,,,,,,,,,,,,,,,,
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t_1,0.001769911504424779,container_fs_inodes_free_t_1,container_cpu_cfs_throttled_periods_total_t_0,,,,,,,,,,,,,,,,,,,,,,
