from,to
container_cpu_cfs_periods_total_t,container_cpu_cfs_periods_total_t1
container_cpu_cfs_throttled_periods_total_t,container_cpu_cfs_throttled_periods_total_t1
container_cpu_cfs_throttled_periods_total_t,container_cpu_cfs_periods_total_t
container_cpu_cfs_throttled_seconds_total_t,container_cpu_cfs_throttled_seconds_total_t1
container_cpu_cfs_throttled_seconds_total_t,container_cpu_user_seconds_total_t
container_cpu_system_seconds_total_t,container_cpu_system_seconds_total_t1
container_cpu_system_seconds_total_t,container_cpu_cfs_throttled_periods_total_t
container_cpu_usage_seconds_total_t,container_cpu_usage_seconds_total_t1
container_cpu_usage_seconds_total_t,container_cpu_system_seconds_total_t
container_cpu_user_seconds_total_t,container_cpu_user_seconds_total_t1
container_cpu_user_seconds_total_t,container_cpu_usage_seconds_total_t
container_fs_inodes_free_t,container_fs_inodes_free_t1
container_fs_inodes_free_t,python_gc_collections_total_t
container_fs_inodes_free_t,container_cpu_cfs_periods_total_t
container_fs_inodes_free_t,container_fs_reads_bytes_total_t1
container_fs_reads_bytes_total_t,container_memory_failures_total_t
container_fs_usage_bytes_t,container_fs_usage_bytes_t1
container_fs_usage_bytes_t,container_last_seen_t
container_last_seen_t,container_last_seen_t1
container_last_seen_t,container_cpu_cfs_throttled_seconds_total_t
container_memory_cache_t,container_memory_cache_t1
container_memory_failures_total_t,container_fs_reads_bytes_total_t1
container_memory_mapped_file_t,container_memory_mapped_file_t1
container_memory_mapped_file_t,container_memory_usage_bytes_t
container_memory_max_usage_bytes_t,container_memory_max_usage_bytes_t1
container_memory_rss_t,container_memory_rss_t1
container_memory_rss_t,container_fs_reads_bytes_total_t
container_memory_rss_t,container_fs_inodes_free_t
container_memory_usage_bytes_t,container_memory_working_set_bytes_t
container_memory_usage_bytes_t,container_memory_working_set_bytes_t1
container_memory_usage_bytes_t,container_memory_max_usage_bytes_t
container_memory_usage_bytes_t,container_memory_rss_t
container_spec_cpu_quota_t,cores_t1
container_spec_cpu_quota_t,container_spec_cpu_quota_t1
container_spec_cpu_quota_t,container_memory_mapped_file_t
cores_t,container_spec_cpu_quota_t
cores_t,container_fs_usage_bytes_t
cores_t,throughput_t
cores_t,container_cpu_user_seconds_total_t
data_quality_t,data_quality_t1
data_quality_t,avg_p_latency_t
data_quality_t,throughput_t
data_quality_t,container_fs_usage_bytes_t
data_quality_t,container_cpu_cfs_throttled_seconds_total_t
data_quality_t,container_memory_mapped_file_t
python_gc_collections_total_t,python_gc_collections_total_t1
python_gc_collections_total_t,container_memory_cache_t
throughput_t,throughput_t1
container_fs_reads_bytes_total_t1,container_memory_failures_total_t1
container_memory_working_set_bytes_t1,container_memory_usage_bytes_t1
data_quality_t1,avg_p_latency_t1
