from,to
container_cpu_cfs_throttled_periods_total,container_cpu_cfs_periods_total
container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total
container_cpu_system_seconds_total,container_cpu_usage_seconds_total
container_cpu_system_seconds_total,container_cpu_cfs_throttled_periods_total
container_cpu_usage_seconds_total,container_cpu_user_seconds_total
container_fs_inodes_free,python_gc_collections_total
container_fs_inodes_free,container_cpu_cfs_periods_total
python_gc_collections_total,container_memory_cache
container_fs_reads_bytes_total,container_memory_failures_total
container_last_seen,container_fs_usage_bytes
container_last_seen,container_cpu_cfs_throttled_seconds_total
container_memory_mapped_file,container_memory_usage_bytes
container_memory_usage_bytes,container_memory_working_set_bytes
container_memory_usage_bytes,container_memory_max_usage_bytes
container_memory_usage_bytes,container_memory_rss
container_memory_rss,container_fs_reads_bytes_total
container_memory_rss,container_fs_inodes_free
container_spec_cpu_quota,container_last_seen
container_spec_cpu_quota,container_memory_mapped_file
container_spec_cpu_quota,container_cpu_system_seconds_total
cores,container_spec_cpu_quota
cores,throughput
data_quality,avg_p_latency
data_quality,throughput
data_quality,container_last_seen
data_quality,container_cpu_system_seconds_total
data_quality,container_memory_mapped_file
