variable,variable_state,prob,container_cpu_system_seconds_total,container_cpu_cfs_throttled_periods_total,container_fs_inodes_free,container_last_seen,container_spec_cpu_quota,data_quality,container_cpu_usage_seconds_total,container_memory_rss,container_fs_reads_bytes_total,container_memory_mapped_file,container_memory_usage_bytes,cores,python_gc_collections_total
container_cpu_cfs_throttled_periods_total,0,0.02857142857142857,0.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,1,0.5285714285714286,0.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,2,0.3857142857142857,0.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,3,0.02857142857142857,0.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,4,0.02857142857142857,0.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,0,0.0005891016200294552,1.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,1,0.0005891016200294552,1.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,2,0.02709867452135493,1.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,3,0.09189985272459499,1.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,4,0.8798232695139911,1.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,0,0.0011730205278592375,2.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,1,0.0011730205278592375,2.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,2,0.24457478005865105,2.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,3,0.2152492668621701,2.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,4,0.5378299120234604,2.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,0,0.12167832167832164,3.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,1,0.695104895104895,3.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,2,0.1566433566433566,3.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,3,0.023776223776223772,3.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,4,0.0027972027972027968,3.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,0,0.826190476190476,4.0,,,,,,,,,,,,
container_cpu_cfs_throttled_periods_total,1,0.15952380952380948,4.0,,,,,,,,,,,,
