K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
5,markov,classic_uniform,bic,0.22,0.29555072469017324,6.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'throughput']",7.417778,
5,markov,classic_uniform,aic,0.44,0.3682690091478155,6.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'throughput']",7.767498874999999,
5,markov,classic_quantile,bic,0.732,0.5812701549286117,6.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'throughput']",7.7943789169999995,
5,markov,classic_quantile,aic,0.732,0.6174644712104723,6.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'throughput']",7.657810625,
5,markov,kmeans,bic,0.172,0.2691551921257425,6.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'throughput']",7.908519208999998,
5,markov,kmeans,aic,0.44,0.36809752068728985,6.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'throughput']",7.611874042000004,
5,markov,dbscan,bic,0.0,0.029459059610466267,4.0,"['cores', 'data_quality', 'container_memory_cache', 'throughput']",7.516201125000002,
5,markov,dbscan,aic,0.168,0.19451081226102945,4.0,"['cores', 'data_quality', 'container_memory_cache', 'throughput']",7.769528125000001,
5,mrmr,classic_uniform,bic,0.472,0.2480091205631084,5.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'throughput']",1.0990665000000064,
5,mrmr,classic_uniform,aic,0.472,0.24841841859431799,5.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'throughput']",1.198403500000012,
5,mrmr,classic_quantile,bic,0.728,0.6046786499054707,5.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'throughput']",1.1606722080000083,
5,mrmr,classic_quantile,aic,0.728,0.6055463817531904,5.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'throughput']",1.2119003750000132,
5,mrmr,kmeans,bic,0.428,0.2225215612202926,5.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'throughput']",1.161863167000007,
5,mrmr,kmeans,aic,0.432,0.43116324568806563,5.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'throughput']",1.2219755419999956,
5,mrmr,dbscan,bic,0.0,0.03334819847870157,4.0,"['container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'throughput']",1.208460500000001,
5,mrmr,dbscan,aic,0.0,0.0315602791758619,4.0,"['container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'throughput']",1.1327741249999974,
5,pca,classic_uniform,bic,0.68,0.5605681742700319,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput']",0.34612062500001173,
5,pca,classic_uniform,aic,0.572,0.5143190133192115,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput']",0.4834384589999985,
5,pca,classic_quantile,bic,0.716,0.6022722992807332,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput']",0.37758508400000323,
5,pca,classic_quantile,aic,0.716,0.6568375490232986,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput']",0.5816862089999972,
5,pca,kmeans,bic,0.44,0.48625434013462837,6.0,"['pca_1', 'pca_2', 'pca_3', 'pca_4', 'pca_5', 'throughput']",0.3808489999999978,
