target,K,n_bins,fs,disc,score,accuracy,f1,precision,recall,log_loss,persistence_accuracy,persistence_f1,persistence_precision,persistence_recall,ar_dbn_accuracy,ar_dbn_f1,ar_dbn_precision,ar_dbn_recall,ar_dbn_log_loss,n_features_incl_target,features,mb_size,mb_fallback,train_time_sec,eval_time_sec,total_time_sec,cache_hits,cache_size,model_pkl_path,edges_csv_path,exclude_other_throughputs,modeling_granularity_sec,error,acc_tput1,acc_tput2,acc_tput3,f1_tput1,f1_tput2,f1_tput3,prec_tput1,prec_tput2,prec_tput3,rec_tput1,rec_tput2,rec_tput3,ll_tput1,ll_tput2,ll_tput3
throughput_3,8,2.0,markov,classic_uniform,bic,0.9561989606533037,0.920012923056484,0.9223319246089575,0.9177357357357357,0.18539417548040182,0.9628804751299184,0.9325825825825826,0.9325825825825826,0.9325825825825826,0.8351893095768375,0.4550970873786408,0.41759465478841873,0.5,0.4509221326960407,9.0,"data_quality_1,buffer_size_3,cores_1,throughput_2,avg_p_latency_1,buffer_size_2,data_quality_3,throughput_1,throughput_3",7.0,padded,0.4921156649943441,0.144253941019997,11.267269229982048,1326.0,21.0,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank3_dbn_throughput_3_K8_markov_classic_uniform_bic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank3_dbn_throughput_3_K8_markov_classic_uniform_bic_bins2_edges.csv,False,30,,0.6614699331848553,0.9576837416481069,0.9561989606533037,0.6124641002215817,0.9227243493935524,0.920012923056484,0.7876111711412186,0.928237021328657,0.9223319246089575,0.6526706611132681,0.9174405291947589,0.9177357357357357,0.7862740325086431,0.17451979874917126,0.18539417548040182
throughput_3,8,3.0,markov,classic_uniform,bic,0.8619153674832962,0.7780960843298255,0.8201638431659463,0.7472274092421154,0.44509368981201825,0.9198218262806236,0.8667046576671411,0.8667046576671411,0.8667046576671411,0.6993318485523385,0.2743556138051551,0.23311061618411286,0.3333333333333333,0.8011727464217471,9.0,"data_quality_2,throughput_2,buffer_size_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,throughput_3",3.0,padded,0.4857803429476917,0.15846179006621242,9.001753956079483,1276.0,71.0,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank5_dbn_throughput_3_K8_markov_classic_uniform_bic_bins3.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank5_dbn_throughput_3_K8_markov_classic_uniform_bic_bins3_edges.csv,False,30,,0.3593170007423905,0.8611729769858946,0.8619153674832962,0.3499972836313779,0.7607819029870772,0.7780960843298255,0.5259916623682036,0.797887709436159,0.8201638431659463,0.48047263704813775,0.7387690557393158,0.7472274092421154,1.4389892760996201,0.4915331814300151,0.44509368981201825
throughput_3,8,4.0,markov,classic_uniform,bic,0.8285077951002228,0.8094475767083569,0.8249355288735609,0.8010916776391762,0.5624090130560521,0.8960653303637713,0.8739650400990078,0.8739283064408108,0.8740025136017482,0.4669636228656273,0.1591599190283401,0.11674090571640683,0.25,1.1536480874518913,9.0,"buffer_size_3,scrape_duration_seconds_3,throughput_2,data_quality_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,0.38531733793206513,0.16400596499443054,8.184212947962806,1251.0,96.0,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank5_dbn_throughput_3_K8_markov_classic_uniform_bic_bins4.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank5_dbn_throughput_3_K8_markov_classic_uniform_bic_bins4_edges.csv,False,30,,0.41648106904231624,0.8151447661469933,0.8285077951002228,0.4065572542489885,0.8112099353158421,0.8094475767083569,0.46173128283132003,0.8072061081812856,0.8249355288735609,0.5075738682836428,0.81784331697622,0.8010916776391762,1.5180633316419152,0.6321671248102007,0.5624090130560521
throughput_3,8,5.0,markov,classic_uniform,bic,0.8262806236080178,0.8164101427748488,0.8291866260944237,0.8074097339964179,0.5848986088303093,0.8975501113585747,0.8654618233401017,0.865403210650079,0.8655212373884347,0.4446919079435783,0.12312435765673176,0.08893838158871567,0.2,1.3522208052283375,9.0,"buffer_size_3,scrape_duration_seconds_3,throughput_2,data_quality_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,throughput_3",4.0,padded,0.41107123089022934,0.18642222112976015,7.770637206966057,1205.0,142.0,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank5_dbn_throughput_3_K8_markov_classic_uniform_bic_bins5.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank5_dbn_throughput_3_K8_markov_classic_uniform_bic_bins5_edges.csv,False,30,,0.3570898292501856,0.6852264291017075,0.8262806236080178,0.32781311678448916,0.6723893753938233,0.8164101427748488,0.3672937177065541,0.6733496870884587,0.8291866260944237,0.49472527472527467,0.6839041164579688,0.8074097339964179,1.9180674696758175,0.8666767368362744,0.5848986088303093
throughput_3,8,6.0,markov,classic_uniform,bic,0.7631774313288789,0.7186824588706475,0.7397914516877829,0.7108520414784404,0.7908454046199509,0.8485523385300668,0.7909169132399255,0.7909698965073431,0.790864649972387,0.2969561989606533,0.0763213127265789,0.049492699826775545,0.16666666666666666,1.5309676985598495,9.0,"throughput_2,data_quality_3,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,throughput_3",2.0,padded,0.3585783939342946,0.20611147792078555,7.0755680811125785,1099.0,248.0,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank5_dbn_throughput_3_K8_markov_classic_uniform_bic_bins6.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank5_dbn_throughput_3_K8_markov_classic_uniform_bic_bins6_edges.csv,False,30,,0.27839643652561247,0.643652561247216,0.7631774313288789,0.2444775659549933,0.5067617845452749,0.7186824588706475,0.32701448297501795,0.49747231525277025,0.7397914516877829,0.24341487178421461,0.545129918921133,0.7108520414784404,2.281077202071994,0.9451155617211493,0.7908454046199509
throughput_3,8,8.0,markov,classic_uniform,bic,0.7520415738678545,0.7089719771915861,0.7288342404604524,0.7036576126208567,0.9609494549522953,0.8418708240534521,0.7728057606295672,0.7728315603982789,0.7727808756903132,0.25315515961395696,0.050503554502369666,0.03164439495174462,0.125,1.8518613254826721,9.0,"throughput_2,throughput_1,buffer_size_3,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,python_gc_objects_collected_total_3,avg_p_latency_1,python_gc_collections_total_4,throughput_3",1.0,padded,0.3704360229894519,0.20723841711878777,6.46538388193585,1069.0,278.0,,,False,30,,0.33184855233853006,0.746844840386043,0.7520415738678545,0.2924105301446188,0.6373997604645116,0.7089719771915861,0.3811919137824087,0.6327942126548429,0.7288342404604524,0.27097502879868224,0.6571135308772899,0.7036576126208567,2.364048594492521,0.9833581024334165,0.9609494549522953
throughput_3,8,2.0,markov,classic_uniform,aic,0.9510022271714922,0.9090222516946656,0.9185638899359216,0.9001621621621622,0.21633667051840347,0.9628804751299184,0.9325825825825826,0.9325825825825826,0.9325825825825826,0.8351893095768375,0.4550970873786408,0.41759465478841873,0.5,0.4509221326960408,9.0,"data_quality_1,buffer_size_3,cores_1,throughput_2,data_quality_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,throughput_3",5.0,padded,0.552490953123197,0.1544021568261087,16.395554123912007,1326.0,21.0,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank4_dbn_throughput_3_K8_markov_classic_uniform_aic_bins2.pkl,saved_dbn_models_top5_20260313_192652_seed783122_run20260513_130626/rank4_dbn_throughput_3_K8_markov_classic_uniform_aic_bins2_edges.csv,False,30,,0.6778025241276912,0.955456570155902,0.9510022271714922,0.6642109447158133,0.9169816747473087,0.9090222516946656,0.7014524580058561,0.9319388545220936,0.9185638899359216,0.6730293230030708,0.9035964730950261,0.9001621621621622,0.5563070524911566,0.20232386292396093,0.21633667051840347
throughput_3,8,3.0,markov,classic_uniform,aic,0.749072011878248,0.44432692039386973,0.44996826377095017,0.4526256692649526,0.7376359861457411,0.9198218262806236,0.8667046576671411,0.8667046576671411,0.8667046576671411,0.6993318485523385,0.2743556138051551,0.23311061618411286,0.3333333333333333,0.8011727464217471,9.0,"data_quality_2,buffer_size_3,cores_2,process_resident_memory_bytes_3,cores_1,throughput_2,throughput_1,python_gc_objects_collected_total_1,throughput_3",6.0,padded,1.0252864330541342,0.18375029182061553,11.124576332978904,1266.0,81.0,,,False,30,,0.5775798069784707,0.6302895322939867,0.749072011878248,0.4863024520942892,0.38840464573818106,0.44432692039386973,0.5927288347699297,0.37267125770206594,0.44996826377095017,0.4752928042474651,0.41400142146410807,0.4526256692649526,0.990635473540076,0.7875161422514565,0.7376359861457411
throughput_3,8,4.0,markov,classic_uniform,aic,0.6332590942835932,0.5210596049759612,0.527774372323605,0.5635596471112913,0.8833899387924429,0.8960653303637713,0.8739650400990078,0.8739283064408108,0.8740025136017482,0.4669636228656273,0.1591599190283401,0.11674090571640683,0.25,1.1536480874518913,9.0,"buffer_size_3,cores_2,scrape_duration_seconds_3,throughput_2,data_quality_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,throughput_3",5.0,padded,0.6882341441232711,0.18275786680169404,9.981384800979868,1232.0,115.0,,,False,30,,0.34669636228656275,0.7357089829250185,0.6332590942835932,0.3555449079025174,0.5574344065214097,0.5210596049759612,0.4294131136498495,0.5424733390268471,0.527774372323605,0.45628615680623147,0.5810446880928127,0.5635596471112913,1.4808384408806972,0.8036977886532877,0.8833899387924429
throughput_3,8,5.0,markov,classic_uniform,aic,0.7980697847067557,0.7802182139675513,0.7679818073393715,0.8046451546114437,0.7000360020256108,0.8975501113585747,0.8654618233401017,0.865403210650079,0.8655212373884347,0.4446919079435783,0.12312435765673176,0.08893838158871567,0.2,1.3522208052283375,9.0,"buffer_size_3,cores_3,scrape_duration_seconds_3,throughput_2,data_quality_3,throughput_1,python_gc_objects_collected_total_1,python_gc_objects_collected_total_2,throughput_3",5.0,padded,0.5758480629883707,0.2047359619755298,8.458170001162216,1173.0,174.0,,,False,30,,0.303637713437268,0.6555308092056422,0.7980697847067557,0.3106077507397468,0.5513521934384329,0.7802182139675513,0.39034914847935975,0.6029065976220361,0.7679818073393715,0.44340651015651017,0.5815551510851785,0.8046451546114437,1.952722523417889,0.9306688426452517,0.7000360020256108
