target,K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,model_pkl_path,edges_csv_path,error
throughput_1,3,markov,classic_uniform,bic,,,,,4.226834041,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,3,markov,classic_uniform,aic,,,,,4.400215374999999,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,3,markov,classic_quantile,bic,0.998998998998999,0.9304990237772894,4.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'throughput_1']",4.400256499999999,,,
throughput_1,3,markov,classic_quantile,aic,0.998998998998999,0.9275993664916803,4.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'throughput_1']",4.486003791,,,
throughput_1,3,markov,kmeans,bic,0.994994994994995,0.9905680270165903,4.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'throughput_1']",4.679647416999998,,,
throughput_1,3,markov,kmeans,aic,0.994994994994995,0.9905680270165903,4.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'throughput_1']",4.3430536669999995,,,
throughput_1,3,markov,dbscan,bic,0.5405405405405406,0.47761226590544736,4.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'throughput_1']",4.315469166,,,
throughput_1,3,markov,dbscan,aic,0.5405405405405406,0.47761226590544736,4.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'throughput_1']",4.507694707999995,,,
throughput_1,3,mrmr,classic_uniform,bic,,,,,1.8270205000000033,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,3,mrmr,classic_uniform,aic,,,,,1.8459602089999976,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,3,mrmr,classic_quantile,bic,0.998998998998999,0.9520520194256992,4.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_1']",1.9242294999999956,,,
throughput_1,3,mrmr,classic_quantile,aic,0.998998998998999,0.886897489992794,4.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_1']",1.9776891660000047,,,
throughput_1,3,mrmr,kmeans,bic,0.6966966966966966,0.7594102835121681,4.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_1']",1.9477804590000005,,,
throughput_1,3,mrmr,kmeans,aic,0.6966966966966966,0.6927054443218261,4.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_1']",1.901644625000003,,,
throughput_1,3,mrmr,dbscan,bic,0.16516516516516516,0.13107598080224472,4.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_1']",1.8979969579999931,,,
throughput_1,3,mrmr,dbscan,aic,0.5655655655655656,0.48260617033617625,4.0,"['avg_p_latency_1', 'throughput_2', 'data_quality_2', 'throughput_1']",1.9353330829999962,,,
throughput_1,3,pca,classic_uniform,bic,,,,,0.34188470799999493,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,3,pca,classic_uniform,aic,,,,,0.35659579200000024,,,index 3 is out of bounds for axis 0 with size 3
throughput_1,3,pca,classic_quantile,bic,0.998998998998999,0.6874714427380549,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",0.5333416659999983,,,
throughput_1,3,pca,classic_quantile,aic,0.998998998998999,0.4279291464817824,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",0.5471572080000016,,,
throughput_1,3,pca,kmeans,bic,0.6926926926926927,0.5646511238415147,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",0.445784500000002,,,
throughput_1,3,pca,kmeans,aic,0.6926926926926927,0.6069963366549675,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",0.5134326669999965,,,
throughput_1,3,pca,dbscan,bic,,,,,0.08864483400000012,,,The node throughput_1_t1 is not in the digraph.
throughput_1,3,pca,dbscan,aic,0.02002002002002002,0.08668545989861828,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",1.1813652080000026,,,
throughput_1,8,markov,classic_uniform,bic,,,,,4.7111455840000005,,,2
throughput_1,8,markov,classic_uniform,aic,,,,,4.747821041000002,,,2
throughput_1,8,markov,classic_quantile,bic,0.998998998998999,0.5313601795075305,9.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_collections_total_1', 'python_gc_objects_collected_total_3', 'process_cpu_seconds_total_1', 'buffer_size_2', 'python_gc_collections_total_4', 'throughput_1']",5.3701547499999975,,,
throughput_1,8,markov,classic_quantile,aic,0.6926926926926927,0.3924070248018035,9.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_collections_total_1', 'python_gc_objects_collected_total_3', 'process_cpu_seconds_total_1', 'buffer_size_2', 'python_gc_collections_total_4', 'throughput_1']",5.6223216670000085,,,
throughput_1,8,markov,kmeans,bic,0.994994994994995,0.9840921849888482,9.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_collections_total_1', 'python_gc_objects_collected_total_3', 'process_cpu_seconds_total_1', 'buffer_size_2', 'python_gc_collections_total_4', 'throughput_1']",5.1278282090000005,,,
throughput_1,8,markov,kmeans,aic,0.993993993993994,0.9815978271717163,9.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_collections_total_1', 'python_gc_objects_collected_total_3', 'process_cpu_seconds_total_1', 'buffer_size_2', 'python_gc_collections_total_4', 'throughput_1']",5.2095822080000005,,,
throughput_1,8,markov,dbscan,bic,0.5325325325325325,0.4631831575403095,6.0,"['throughput_2', 'data_quality_1', 'avg_p_latency_1', 'python_gc_objects_collected_total_3', 'buffer_size_2', 'throughput_1']",4.786765291999998,,,
