target,K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
throughput_1,3,markov,classic_uniform,bic,0.333641404805915,0.22265110989598272,4.0,"['data_quality_1', 'data_quality_2', 'data_quality_3', 'throughput_1']",3.611802293919027,
throughput_1,3,markov,classic_uniform,aic,0.6654343807763401,0.663639654608704,4.0,"['data_quality_1', 'data_quality_2', 'data_quality_3', 'throughput_1']",3.234201527899131,
throughput_1,3,markov,classic_quantile,bic,0.6654343807763401,0.7731781580911247,4.0,"['data_quality_1', 'data_quality_2', 'data_quality_3', 'throughput_1']",3.6388846350600943,
throughput_1,3,markov,classic_quantile,aic,0.6654343807763401,0.7727179243242354,4.0,"['data_quality_1', 'data_quality_2', 'data_quality_3', 'throughput_1']",3.8808500709710643,
throughput_1,3,markov,kmeans,bic,0.6654343807763401,0.6488498702519704,4.0,"['data_quality_1', 'data_quality_2', 'data_quality_3', 'throughput_1']",3.809841666952707,
throughput_1,3,markov,kmeans,aic,0.333641404805915,0.4845327736258839,4.0,"['data_quality_1', 'data_quality_2', 'data_quality_3', 'throughput_1']",3.4191603530198336,
throughput_1,3,markov,dbscan,bic,0.33271719038817005,0.34584184019050407,4.0,"['data_quality_1', 'data_quality_2', 'data_quality_3', 'throughput_1']",3.369406644953415,
throughput_1,3,markov,dbscan,aic,0.4121996303142329,0.3855647686840062,4.0,"['data_quality_1', 'data_quality_2', 'data_quality_3', 'throughput_1']",3.4970261799171567,
throughput_1,3,mrmr,classic_uniform,bic,0.6654343807763401,0.6647802963680702,4.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_1']",1.1589448440354317,
throughput_1,3,mrmr,classic_uniform,aic,0.6654343807763401,0.7748149163784865,4.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_1']",1.083395443041809,
throughput_1,3,mrmr,classic_quantile,bic,0.9972273567467652,0.9410229018744842,3.0,"['throughput_2', 'avg_p_latency_1', 'throughput_1']",1.0039090079953894,
throughput_1,3,mrmr,classic_quantile,aic,0.9972273567467652,0.9393746227720032,3.0,"['throughput_2', 'avg_p_latency_1', 'throughput_1']",0.9932100980076939,
throughput_1,3,mrmr,kmeans,bic,0.6654343807763401,0.6738449108830018,4.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_1']",1.1493806599173695,
throughput_1,3,mrmr,kmeans,aic,0.6654343807763401,0.6632798438174556,4.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_1']",1.1202100990340114,
throughput_1,3,mrmr,dbscan,bic,0.333641404805915,0.19255935942683325,4.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_1']",1.4350458580302075,
throughput_1,3,mrmr,dbscan,aic,0.41589648798521256,0.3961161340322771,4.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_1']",1.5041948920115829,
throughput_1,3,pca,classic_uniform,bic,0.0,0.019469447349054255,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",0.3197374449810013,
throughput_1,3,pca,classic_uniform,aic,0.0,0.2387833177313372,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",0.5743749280227348,
throughput_1,3,pca,classic_quantile,bic,0.33271719038817005,0.33274505819387734,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",0.3290951440576464,
throughput_1,3,pca,classic_quantile,aic,0.33271719038817005,0.3327202479003314,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",0.2633626690367237,
throughput_1,3,pca,kmeans,bic,0.0,0.0019337877779177829,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",0.42986361403018236,
throughput_1,3,pca,kmeans,aic,0.0,0.018487274202530643,4.0,"['pca_1', 'pca_2', 'pca_3', 'throughput_1']",0.47931153792887926,
throughput_1,3,pca,dbscan,bic,,,,,0.06638359499629587,The node throughput_1_t1 is not in the digraph.
throughput_1,3,pca,dbscan,aic,0.0,0.011957040076265288,3.0,"['pca_1', 'pca_2', 'throughput_1']",0.5713074309751391,
throughput_1,5,markov,classic_uniform,bic,0.6654343807763401,0.4183132092451302,6.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'throughput_1']",4.266373065998778,
throughput_1,5,markov,classic_uniform,aic,0.6654343807763401,0.6641066355125941,6.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'throughput_1']",4.084638508036733,
throughput_1,5,markov,classic_quantile,bic,0.9972273567467652,0.840523101870098,5.0,"['data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'throughput_1']",3.720032576005906,
throughput_1,5,markov,classic_quantile,aic,0.9972273567467652,0.6620014224946059,5.0,"['data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'throughput_1']",4.124536409974098,
throughput_1,5,markov,kmeans,bic,0.333641404805915,0.4485625320064635,6.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'throughput_1']",3.893415536964312,
throughput_1,5,markov,kmeans,aic,0.333641404805915,0.39379323229648133,6.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'throughput_1']",3.7072952310554683,
throughput_1,5,markov,dbscan,bic,0.33271719038817005,0.34536227757368576,6.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'throughput_1']",4.459998303093016,
throughput_1,5,markov,dbscan,aic,0.33271719038817005,0.34499969542070175,6.0,"['cores_1', 'data_quality_1', 'data_quality_3', 'data_quality_2', 'throughput_2', 'throughput_1']",3.9944923819275573,
throughput_1,5,mrmr,classic_uniform,bic,0.6654343807763401,0.6501883555565309,6.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'throughput_1']",2.933180922991596,
throughput_1,5,mrmr,classic_uniform,aic,0.6654343807763401,0.686665492897517,6.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'throughput_1']",2.811223917058669,
throughput_1,5,mrmr,classic_quantile,bic,0.9695009242144177,0.9248361021788115,5.0,"['throughput_2', 'avg_p_latency_1', 'throughput_3', 'buffer_size_2', 'throughput_1']",2.6106899020960554,
throughput_1,5,mrmr,classic_quantile,aic,0.9972273567467652,0.9071194323020264,5.0,"['throughput_2', 'avg_p_latency_1', 'throughput_3', 'buffer_size_2', 'throughput_1']",2.6024791710078716,
throughput_1,5,mrmr,kmeans,bic,0.6654343807763401,0.6673613218156339,6.0,"['throughput_2', 'avg_p_latency_1', 'cores_1', 'throughput_3', 'buffer_size_2', 'throughput_1']",2.6907474889885634,
