target,K,fs,disc,score,accuracy,mean_prob_true,persistence_accuracy,majority_accuracy,majority_class,n_features_including_target,features,time_sec,model_pkl_path,edges_csv_path,exclude_other_throughputs,error
throughput_1,3,markov,classic_uniform,bic,,,,,,,,4.705743375,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,3,markov,classic_uniform,aic,,,,,,,,4.286848584,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,3,markov,classic_quantile,bic,0.9319319319319319,0.49367910497619716,0.998998998998999,0.0,2.0,4.0,"['process_resident_memory_bytes_1', 'buffer_size_2', 'data_quality_1', 'throughput_1']",4.872984582999999,,,False,
throughput_1,3,markov,classic_quantile,aic,0.908908908908909,0.5661456977986873,0.998998998998999,0.0,2.0,4.0,"['python_gc_objects_collected_total_6', 'data_quality_1', 'buffer_size_3', 'throughput_1']",4.582170833999999,,,False,
throughput_1,3,markov,kmeans,bic,0.6386386386386387,0.44154969131556093,0.998998998998999,0.908908908908909,0.0,4.0,"['process_resident_memory_bytes_1', 'buffer_size_2', 'data_quality_1', 'throughput_1']",5.251230666000001,,,False,
throughput_1,3,markov,kmeans,aic,0.2772772772772773,0.45682432320167793,0.998998998998999,0.908908908908909,0.0,4.0,"['python_gc_objects_collected_total_6', 'data_quality_1', 'buffer_size_3', 'throughput_1']",4.537967375000001,,,False,
throughput_1,3,markov,dbscan,bic,0.4774774774774775,0.1680491460569029,0.4864864864864865,0.09109109109109109,43.0,4.0,"['process_resident_memory_bytes_1', 'buffer_size_2', 'data_quality_1', 'throughput_1']",4.932368834000002,,,False,
throughput_1,3,markov,dbscan,aic,0.4774774774774775,0.08414278380161738,0.4864864864864865,0.09109109109109109,43.0,4.0,"['python_gc_objects_collected_total_6', 'data_quality_1', 'buffer_size_3', 'throughput_1']",4.500258208999995,,,False,
throughput_1,3,mrmr,classic_uniform,bic,,,,,,,,1.9244835410000007,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,3,mrmr,classic_uniform,aic,,,,,,,,1.8328717500000025,,,False,index 3 is out of bounds for axis 0 with size 3
throughput_1,3,mrmr,classic_quantile,bic,0.998998998998999,0.42676705983522434,0.998998998998999,0.0,2.0,4.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'throughput_1']",1.8815403330000038,,,False,
throughput_1,3,mrmr,classic_quantile,aic,0.998998998998999,0.4251541948389879,0.998998998998999,0.0,2.0,4.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'throughput_1']",1.9785600000000017,,,False,
throughput_1,3,mrmr,kmeans,bic,0.998998998998999,0.7896697708052801,0.998998998998999,0.908908908908909,0.0,4.0,"['avg_p_latency_1', 'python_gc_objects_collected_total_4', 'buffer_size_2', 'throughput_1']",1.9150978750000007,,,False,
