parent,child
data_quality_1_t,avg_p_latency_1_t
data_quality_1_t,throughput_1_t
data_quality_1_t,process_cpu_seconds_total_3_t
data_quality_1_t,data_quality_1_t1
data_quality_1_t,avg_p_latency_1_t1
data_quality_1_t,process_cpu_seconds_total_3_t1
avg_p_latency_1_t,throughput_1_t1
throughput_1_t,avg_p_latency_1_t
throughput_1_t,throughput_1_t1
throughput_1_t,avg_p_latency_1_t1
throughput_1_t,process_cpu_seconds_total_3_t1
process_cpu_seconds_total_3_t,throughput_1_t
data_quality_1_t1,avg_p_latency_1_t1
data_quality_1_t1,throughput_1_t1
data_quality_1_t1,process_cpu_seconds_total_3_t1
throughput_1_t1,avg_p_latency_1_t1
process_cpu_seconds_total_3_t1,throughput_1_t1
