metric,labels,timestamp,value
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:22:08Z","11"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:22:23Z","11"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:22:38Z","13"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:22:53Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:23:08Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:23:23Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:23:38Z","14"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:23:53Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:24:08Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:24:23Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:24:38Z","11"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:24:53Z","11"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:25:08Z","11"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:25:23Z","10"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:25:38Z","11"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:25:53Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:26:08Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:26:23Z","-1"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:26:38Z","17"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:26:53Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:27:08Z","13"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:27:23Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:27:38Z","12"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:27:53Z","10"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:28:08Z","10"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:28:23Z","11"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:28:38Z","11"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:28:53Z","11"
"avg_p_latency","__name__=avg_p_latency;container_id=elastic-workbench-linked-service-3;instance=linked-service-3:8000;job=iot_service;metric_id=avg_p_latency;service_type=elastic-workbench-linked-service","2025-11-03T15:29:08Z","-1"
