parent,child
cores_1_t,avg_p_latency_1_t
cores_1_t,throughput_1_t
cores_1_t,buffer_size_2_t
cores_1_t,throughput_1_t1
cores_1_t,buffer_size_2_t1
avg_p_latency_1_t,avg_p_latency_1_t1
avg_p_latency_1_t,cores_1_t1
throughput_1_t,avg_p_latency_1_t
throughput_1_t,buffer_size_2_t
throughput_1_t,throughput_1_t1
throughput_1_t,buffer_size_2_t1
throughput_1_t,cores_1_t1
cores_1_t1,avg_p_latency_1_t1
cores_1_t1,throughput_1_t1
cores_1_t1,buffer_size_2_t1
throughput_1_t1,avg_p_latency_1_t1
throughput_1_t1,buffer_size_2_t1
