parent,child
buffer_size_3_t,buffer_size_2_t
buffer_size_3_t,throughput_2_t1
buffer_size_2_t,avg_p_latency_1_t
buffer_size_2_t,throughput_2_t
buffer_size_2_t,buffer_size_3_t1
buffer_size_2_t,throughput_2_t1
cores_1_t,throughput_1_t
cores_1_t,throughput_3_t
cores_1_t,buffer_size_2_t
cores_1_t,cores_1_t1
cores_1_t,throughput_1_t1
cores_1_t,throughput_3_t1
cores_1_t,buffer_size_3_t1
throughput_1_t,throughput_3_t
throughput_1_t,throughput_2_t
throughput_1_t,buffer_size_3_t
throughput_1_t,throughput_2_t1
throughput_1_t,throughput_3_t1
throughput_3_t,throughput_2_t
throughput_3_t,buffer_size_3_t
throughput_3_t,buffer_size_2_t
throughput_3_t,avg_p_latency_1_t
data_quality_3_t,throughput_3_t
data_quality_3_t,throughput_1_t
data_quality_3_t,data_quality_3_t1
data_quality_3_t,data_quality_1_t1
data_quality_3_t,throughput_1_t1
data_quality_3_t,throughput_2_t1
data_quality_3_t,buffer_size_2_t1
data_quality_1_t,avg_p_latency_1_t
data_quality_1_t,throughput_1_t
data_quality_1_t,throughput_1_t1
data_quality_1_t,avg_p_latency_1_t1
data_quality_1_t,data_quality_3_t1
avg_p_latency_1_t,avg_p_latency_1_t1
avg_p_latency_1_t,data_quality_1_t1
avg_p_latency_1_t,buffer_size_2_t1
throughput_2_t,throughput_3_t1
buffer_size_3_t1,buffer_size_2_t1
buffer_size_2_t1,avg_p_latency_1_t1
buffer_size_2_t1,throughput_2_t1
cores_1_t1,throughput_1_t1
cores_1_t1,throughput_3_t1
cores_1_t1,buffer_size_2_t1
throughput_1_t1,throughput_3_t1
throughput_1_t1,throughput_2_t1
throughput_1_t1,buffer_size_3_t1
throughput_3_t1,throughput_2_t1
throughput_3_t1,buffer_size_3_t1
throughput_3_t1,buffer_size_2_t1
throughput_3_t1,avg_p_latency_1_t1
data_quality_3_t1,throughput_3_t1
data_quality_3_t1,throughput_1_t1
data_quality_1_t1,avg_p_latency_1_t1
data_quality_1_t1,throughput_1_t1
