parent,child
throughput_2_t,buffer_size_1_t
throughput_2_t,throughput_1_t1
buffer_size_1_t,buffer_size_1_t1
buffer_size_1_t,throughput_1_t1
buffer_size_1_t,throughput_2_t1
buffer_size_1_t,python_gc_objects_collected_total_1_t1
buffer_size_3_t,throughput_3_t
buffer_size_3_t,throughput_1_t
buffer_size_3_t,buffer_size_3_t1
buffer_size_3_t,buffer_size_2_t1
throughput_3_t,throughput_2_t
throughput_3_t,throughput_3_t1
throughput_3_t,throughput_2_t1
throughput_3_t,buffer_size_2_t1
throughput_1_t,throughput_3_t
throughput_1_t,buffer_size_1_t
throughput_1_t,throughput_2_t
throughput_1_t,throughput_3_t1
throughput_1_t,avg_p_latency_1_t1
avg_p_latency_2_t,avg_p_latency_1_t
avg_p_latency_2_t,python_gc_objects_collected_total_1_t1
avg_p_latency_1_t,throughput_1_t
avg_p_latency_1_t,buffer_size_1_t
avg_p_latency_1_t,buffer_size_2_t
avg_p_latency_1_t,buffer_size_3_t
avg_p_latency_1_t,avg_p_latency_1_t1
avg_p_latency_1_t,throughput_1_t1
avg_p_latency_1_t,avg_p_latency_2_t1
avg_p_latency_1_t,buffer_size_2_t1
avg_p_latency_1_t,python_gc_objects_collected_total_1_t1
buffer_size_2_t,buffer_size_3_t
buffer_size_2_t,throughput_2_t
buffer_size_2_t,throughput_3_t
buffer_size_2_t,throughput_2_t1
python_gc_objects_collected_total_1_t,buffer_size_1_t
python_gc_objects_collected_total_1_t,avg_p_latency_1_t
throughput_2_t1,buffer_size_1_t1
buffer_size_3_t1,throughput_3_t1
buffer_size_3_t1,throughput_1_t1
throughput_3_t1,throughput_2_t1
throughput_1_t1,throughput_3_t1
throughput_1_t1,buffer_size_1_t1
throughput_1_t1,throughput_2_t1
avg_p_latency_2_t1,avg_p_latency_1_t1
avg_p_latency_1_t1,throughput_1_t1
avg_p_latency_1_t1,buffer_size_1_t1
avg_p_latency_1_t1,buffer_size_2_t1
avg_p_latency_1_t1,buffer_size_3_t1
buffer_size_2_t1,buffer_size_3_t1
buffer_size_2_t1,throughput_2_t1
buffer_size_2_t1,throughput_3_t1
python_gc_objects_collected_total_1_t1,buffer_size_1_t1
python_gc_objects_collected_total_1_t1,avg_p_latency_1_t1
