parent,child
data_quality_2_t,throughput_1_t
data_quality_2_t,scrape_duration_seconds_3_t
data_quality_2_t,process_resident_memory_bytes_1_t
data_quality_2_t,throughput_2_t
data_quality_2_t,process_cpu_seconds_total_2_t
data_quality_2_t,throughput_3_t
data_quality_2_t,python_gc_objects_collected_total_1_t
throughput_1_t,data_quality_2_t1
throughput_1_t,process_cpu_seconds_total_2_t1
throughput_1_t,python_gc_objects_collected_total_7_t1
throughput_1_t,process_resident_memory_bytes_2_t1
throughput_1_t,throughput_3_t1
scrape_duration_seconds_3_t,throughput_3_t
scrape_duration_seconds_3_t,throughput_1_t
scrape_duration_seconds_3_t,buffer_size_3_t
scrape_duration_seconds_3_t,data_quality_2_t1
scrape_duration_seconds_3_t,buffer_size_3_t1
scrape_duration_seconds_3_t,throughput_1_t1
process_resident_memory_bytes_1_t,python_gc_objects_collected_total_7_t
process_resident_memory_bytes_1_t,throughput_2_t
process_resident_memory_bytes_1_t,buffer_size_3_t1
throughput_2_t,throughput_3_t
throughput_2_t,buffer_size_3_t1
throughput_2_t,scrape_duration_seconds_3_t1
process_cpu_seconds_total_2_t,process_resident_memory_bytes_1_t
process_cpu_seconds_total_2_t,process_resident_memory_bytes_2_t
process_cpu_seconds_total_2_t,python_gc_objects_collected_total_7_t
process_cpu_seconds_total_2_t,buffer_size_3_t
process_cpu_seconds_total_2_t,python_gc_objects_collected_total_1_t
process_cpu_seconds_total_2_t,process_resident_memory_bytes_2_t1
process_cpu_seconds_total_2_t,process_resident_memory_bytes_1_t1
throughput_3_t,throughput_3_t1
throughput_3_t,scrape_duration_seconds_3_t1
throughput_3_t,buffer_size_3_t1
throughput_3_t,throughput_1_t1
throughput_3_t,throughput_2_t1
python_gc_objects_collected_total_1_t,scrape_duration_seconds_3_t
python_gc_objects_collected_total_1_t,python_gc_objects_collected_total_1_t1
python_gc_objects_collected_total_1_t,process_cpu_seconds_total_2_t1
python_gc_objects_collected_total_1_t,throughput_2_t1
buffer_size_3_t,throughput_3_t
buffer_size_3_t,throughput_2_t
buffer_size_3_t,throughput_3_t1
cores_1_t,throughput_1_t
cores_1_t,scrape_duration_seconds_3_t
cores_1_t,process_resident_memory_bytes_2_t
cores_1_t,python_gc_objects_collected_total_7_t
cores_1_t,process_resident_memory_bytes_1_t
cores_1_t,buffer_size_3_t
cores_1_t,process_cpu_seconds_total_2_t
cores_1_t,python_gc_objects_collected_total_1_t
cores_1_t,cores_1_t1
cores_1_t,scrape_duration_seconds_3_t1
cores_1_t,data_quality_2_t1
cores_1_t,process_resident_memory_bytes_1_t1
cores_1_t,python_gc_objects_collected_total_7_t1
cores_1_t,process_resident_memory_bytes_2_t1
cores_1_t,throughput_1_t1
cores_1_t,throughput_2_t1
cores_1_t,process_cpu_seconds_total_2_t1
process_resident_memory_bytes_2_t,python_gc_objects_collected_total_7_t1
python_gc_objects_collected_total_7_t,process_resident_memory_bytes_2_t
python_gc_objects_collected_total_7_t,throughput_1_t
python_gc_objects_collected_total_7_t,process_resident_memory_bytes_1_t1
python_gc_objects_collected_total_7_t,data_quality_2_t1
cores_2_t,scrape_duration_seconds_3_t
cores_2_t,process_resident_memory_bytes_1_t
cores_2_t,process_resident_memory_bytes_2_t
cores_2_t,python_gc_objects_collected_total_7_t
cores_2_t,throughput_2_t
cores_2_t,buffer_size_3_t
cores_2_t,process_cpu_seconds_total_2_t
cores_2_t,cores_2_t1
cores_2_t,scrape_duration_seconds_3_t1
cores_2_t,python_gc_objects_collected_total_7_t1
cores_2_t,process_resident_memory_bytes_2_t1
cores_2_t,throughput_1_t1
cores_2_t,process_resident_memory_bytes_1_t1
cores_2_t,throughput_2_t1
cores_2_t,process_cpu_seconds_total_2_t1
data_quality_2_t1,throughput_1_t1
data_quality_2_t1,scrape_duration_seconds_3_t1
data_quality_2_t1,process_resident_memory_bytes_1_t1
data_quality_2_t1,throughput_2_t1
data_quality_2_t1,process_cpu_seconds_total_2_t1
data_quality_2_t1,throughput_3_t1
data_quality_2_t1,python_gc_objects_collected_total_1_t1
scrape_duration_seconds_3_t1,throughput_3_t1
scrape_duration_seconds_3_t1,throughput_1_t1
scrape_duration_seconds_3_t1,buffer_size_3_t1
process_resident_memory_bytes_1_t1,python_gc_objects_collected_total_7_t1
process_resident_memory_bytes_1_t1,throughput_2_t1
throughput_2_t1,throughput_3_t1
process_cpu_seconds_total_2_t1,process_resident_memory_bytes_1_t1
process_cpu_seconds_total_2_t1,process_resident_memory_bytes_2_t1
process_cpu_seconds_total_2_t1,python_gc_objects_collected_total_7_t1
process_cpu_seconds_total_2_t1,buffer_size_3_t1
process_cpu_seconds_total_2_t1,python_gc_objects_collected_total_1_t1
python_gc_objects_collected_total_1_t1,scrape_duration_seconds_3_t1
buffer_size_3_t1,throughput_3_t1
buffer_size_3_t1,throughput_2_t1
cores_1_t1,throughput_1_t1
cores_1_t1,scrape_duration_seconds_3_t1
cores_1_t1,process_resident_memory_bytes_2_t1
cores_1_t1,python_gc_objects_collected_total_7_t1
cores_1_t1,process_resident_memory_bytes_1_t1
cores_1_t1,buffer_size_3_t1
cores_1_t1,process_cpu_seconds_total_2_t1
cores_1_t1,python_gc_objects_collected_total_1_t1
python_gc_objects_collected_total_7_t1,process_resident_memory_bytes_2_t1
python_gc_objects_collected_total_7_t1,throughput_1_t1
cores_2_t1,scrape_duration_seconds_3_t1
cores_2_t1,process_resident_memory_bytes_1_t1
cores_2_t1,process_resident_memory_bytes_2_t1
cores_2_t1,python_gc_objects_collected_total_7_t1
cores_2_t1,throughput_2_t1
cores_2_t1,buffer_size_3_t1
cores_2_t1,process_cpu_seconds_total_2_t1
