parent,child
buffer_size_3_t,scrape_duration_seconds_3_t
buffer_size_3_t,throughput_2_t
buffer_size_3_t,throughput_2_t1
buffer_size_3_t,throughput_3_t1
scrape_duration_seconds_3_t,throughput_1_t
scrape_duration_seconds_3_t,scrape_duration_seconds_3_t1
scrape_duration_seconds_3_t,buffer_size_3_t1
throughput_1_t,throughput_1_t1
throughput_3_t,throughput_2_t
throughput_3_t,scrape_duration_seconds_3_t
throughput_3_t,buffer_size_3_t
throughput_3_t,throughput_1_t
throughput_3_t,throughput_3_t1
throughput_3_t,throughput_2_t1
throughput_3_t,buffer_size_3_t1
buffer_size_3_t1,scrape_duration_seconds_3_t1
buffer_size_3_t1,throughput_2_t1
scrape_duration_seconds_3_t1,throughput_1_t1
throughput_3_t1,throughput_2_t1
throughput_3_t1,scrape_duration_seconds_3_t1
throughput_3_t1,buffer_size_3_t1
throughput_3_t1,throughput_1_t1
