parent,child
data_quality_3_t,throughput_1_t
data_quality_3_t,throughput_3_t
data_quality_3_t,data_quality_3_t1
data_quality_3_t,throughput_1_t1
throughput_1_t,throughput_2_t
throughput_3_t,scrape_duration_seconds_3_t
throughput_3_t,throughput_3_t1
throughput_3_t,buffer_size_3_t1
buffer_size_3_t,throughput_2_t
throughput_2_t,throughput_3_t
throughput_2_t,python_gc_objects_collected_total_2_t
throughput_2_t,throughput_2_t1
throughput_2_t,throughput_1_t1
throughput_2_t,buffer_size_3_t1
python_gc_objects_collected_total_2_t,python_gc_objects_collected_total_3_t
python_gc_objects_collected_total_2_t,python_gc_objects_collected_total_1_t
python_gc_objects_collected_total_3_t,python_gc_objects_collected_total_3_t1
python_gc_objects_collected_total_1_t,python_gc_objects_collected_total_1_t1
python_gc_objects_collected_total_1_t,python_gc_objects_collected_total_2_t1
scrape_duration_seconds_3_t,scrape_duration_seconds_3_t1
data_quality_3_t1,throughput_1_t1
data_quality_3_t1,throughput_3_t1
throughput_1_t1,throughput_2_t1
throughput_3_t1,scrape_duration_seconds_3_t1
buffer_size_3_t1,throughput_2_t1
throughput_2_t1,throughput_3_t1
throughput_2_t1,python_gc_objects_collected_total_2_t1
python_gc_objects_collected_total_2_t1,python_gc_objects_collected_total_3_t1
python_gc_objects_collected_total_2_t1,python_gc_objects_collected_total_1_t1
